 course_code | career |                                           c                                           |                                         left                                          
 ARTS2360    | UG     | Prerequisite: 30 units of credit at Level 1;                                          | (30_UOC_LEVEL_1)
 ARTS2361    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2362    | UG     | Prerequisite: 30 units of credit at Level 1;                                          | (30_UOC_LEVEL_1)
 ARTS2363    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2367    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2372    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2374    | UG     | Prerequisite: 30 units of credit at Level 1;                                          | (30_UOC_LEVEL_1)
 ARTS2384    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2450    | UG     | Prerequisite: ARTS1451                                                                | (ARTS1451)
 ARTS2451    | UG     | Prerequisite: ARTS2450                                                                | (ARTS2450)
 ARTS2452    | UG     | Prerequisite: ARTS3451 or ARTS3452 or ARTS3453 or equivalent                          | (ARTS3451 || ARTS3452 || ARTS3453)
 ARTS2453    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2455    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2457    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2458    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2461    | UG     | Prerequisite: ARTS1453                                                                | (ARTS1453)
 ARTS2462    | UG     | Prerequisite: ARTS2461                                                                | (ARTS2461)
 ARTS2463    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2480    | UG     | Prerequisite: ARTS1481 or FREN1102;                                                   | (ARTS1481 || FREN1102)
 ARTS2481    | UG     | Prerequisite: ARTS2480 or FREN2101;                                                   | (ARTS2480 || FREN2101)
 ARTS2484    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2486    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2510    | UG     | Prerequisite: ARTS1511 or GERS1401                                                    | (ARTS1511 || GERS1401)
 ARTS2511    | UG     | Prerequisite: ARTS2510 or GERS2400                                                    | (ARTS2510 || GERS2400)
 ARTS2542    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2570    | UG     | Prerequisite: ARTS1571 or SPAN1002                                                    | (ARTS1571 || SPAN1002)
 ARTS2571    | UG     | Prerequisite: ARTS2570 or SPAN2003                                                    | (ARTS2570 || SPAN2003)
 ARTS2630    | UG     | Prerequisite: ARTS1631 or JAPN1001                                                    | (ARTS1631 || JAPN1001)
 ARTS2631    | UG     | Prerequisite: ARTS2630 or JAPN2000                                                    | (ARTS2630 || JAPN2000)
 ARTS2660    | UG     | Prerequisite: ARTS1661 or KORE1001                                                    | (ARTS1661 || KORE1001)
 ARTS2661    | UG     | Prerequisite: ARTS2660 or KORE2000                                                    | (ARTS2660 || KORE2000)
 ARTS2663    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2690    | UG     | Prerequisite: 30 units of credit overall including 12 units of credit in Level 1 Ling | (30_UOC && 12_UOC_LEVEL_1_LINGUISTICS)
 ARTS2692    | UG     | Prerequisite: 30 units of credit overall including 12 units of credit in Level 1 Ling | (30_UOC && 12_UOC_LEVEL_1_LINGUISTICS)
 ARTS2693    | UG     | Prerequisite: 30 units of credit overall including 12 units of credit in Level 1 Ling | (30_UOC && 12_UOC_LEVEL_1_LINGUISTICS)
 ARTS2694    | UG     | Prerequisite: 30 units of credit overall including 12 units of credit in Level 1 Ling | (30_UOC && 12_UOC_LEVEL_1_LINGUISTICS)
 ARTS3663    | UG     | Prerequisite: ARTS3661 or ARTS3662 or ARTS3664 or ARTS3665                            | (ARTS3661 || ARTS3662 || ARTS3664 || ARTS3665)
 ARTS2696    | UG     | Prerequisite: 30 units of credit overall including 12 units of credit in Level 1 Ling | (30_UOC && 12_UOC_LEVEL_1_LINGUISTICS)
 ARTS2698    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2750    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2751    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2752    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2781    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2785    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2786    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2811    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2812    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2813    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2814    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2815    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2840    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2845    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2846    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2848    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2850    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2851    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2870    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2871    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2872    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2873    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2874    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2875    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2876    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
